Nom du Restaurant,Ville,Catégorie,Note Google,Nombre d'Avis,Possède un Site Web,Site Web URL,Score de Complétude Profil (sur 10),Google Maps CID
"Le Panier","Nice","Française",4.8,2,"Oui","http://www.restaurantlepanier.com/",6,"11769985832384550861"
"Les Sens","Nice","Française",4.7,1,"Oui","http://www.les-sens-nice.fr/",6,"15752787321929773898"
"L'Alchimie restaurant Nice","Nice","Méditerranéenne",4.9,1,"Oui","http://www.lalchimie-restaurant.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11148714355939168601",6,"12795282804288500758"
"Chez Acchiardo","Nice","Restaurant",4.7,3,"Oui","https://www.facebook.com/pages/Restaurant-Chez-Acchiardo/247157661974943",6,"13696855102255329525"
"Le Bouchon","Nice","Française",4.9,1,"Oui","https://www.lebouchonnice.fr/",6,"11166467869400105867"
"La Cantine de Mémé - restaurant à Nice","Nice","Restaurant",4.8,1,"Oui","http://www.lacantinedememe.fr/",6,"14430131001696314437"
"Le Patio Restaurant & Terrasse","Nice","Méditerranéenne",4.6,642,"Oui","https://www.hotel-la-perouse.com/restaurant-bar-terrasse/",8,"7987257669795432262"
"La maison de Marie - Restaurant Traditionnel Nice","Nice","Française",4.3,3,"Oui","https://www.lamaisondemarie.com/",6,"4210885743166931084"
"LA. CUCINA","Nice","Italienne",4.7,1,"Oui","https://www.instagram.com/la_cucinanice?igsh=MTF3cjV5dGs3MmZybg%3D%3D&utm_source=qr",6,"17019030474594185868"
"Bistrot Gourmand - restaurant à Nice","Nice","Française",4.5,1,"Oui","https://www.bistrotgourmand.net/",6,"4360285173651645366"
"Restaurant JAN","Nice","Cuisine gastronomique",4.8,1,"Oui","http://www.restaurantjan.com/",6,"4881164733632136658"
"La Réserve de Nice","Nice","Gastronomie française",4.5,1,"Oui","https://www.lareservedenice.fr/fr/",6,"7040850707024510850"
"Maison F Restaurant","Nice","Restaurant",4.6,931,"Oui","https://www.maison-f-restaurant-nice.fr/",8,"2853082532217412316"
"Les Agitateurs - restaurant gastronomique","Nice","Cuisine gastronomique",4.8,1,"Oui","https://www.lesagitateurs.com/",6,"1705661167762086501"
"Influence - restaurant gastronomique à Nice","Nice","Restaurant",4.7,583,"Oui","https://restaurant-influence-nice.fr/",8,"2050687890040526654"
"L'Atelier","Nice","Française",4.6,546,"Oui","https://bonsrestaurants.fr/restaurants/l-atelier-nice-2/",8,"6988262826454152464"
"Prima Volta","Nice","Pizza",4.9,2,"Oui","https://primavoltanice.fr/",6,"7380318581373429246"
"La Pizza Cresci","Nice","Pizza",4.2,4,"Oui","https://www.pizza-cresci-nice.com/",6,"15867246933668146064"
"Pizzeria bella napoli","Nice","Pizza",4.9,356,"Oui","https://pizzeria-bellanapolinice.fr/",8,"12829126836468936151"
"Les Amoureux","Nice","Pizza",4.9,3,"Oui","https://lesamoureuxpizzeria.com/",6,"1904803025935616292"
"Sapori di Sicilia","Nice","Pizza",4.8,392,"Oui","https://sapori-di-sicilia.fr/",8,"6429134042235361186"
"Pizza _italian pizza _pizza napoletana _ napolitaine _ take away_pizza to go_amore pizza_trattoria","Nice","Pizza",4.6,669,"Oui","https://litaliananice.com/",8,"17427305404133213335"
"Don Vincenzo","Nice","Pizza",4.8,647,"Non","",7,"9441185710125649791"
"La Voglia","Nice","Italienne",4.4,6,"Oui","https://www.lavoglia.com/",6,"11762304910847949111"
"Pizza da Francesco","Nice","Pizza",4.7,745,"Oui","http://pizzadafrancesco.com/",8,"10132035851948462250"
"Doma pizza","Nice","Pizza",4.9,1,"Oui","https://www.domapizza.fr/",6,"9586014079270883393"
"FELIX - Brasserie","Nice","Restaurant",4.6,5,"Oui","https://www.felixdenice.fr/",6,"381358896413757169"
"Brasserie de Castillon - Taproom","Nice","Microbrasserie",4.9,369,"Oui","https://www.brasseriedecastillon.com/",8,"17213876407754249105"
"Brasserie Le Gambetta","Nice","Brasserie",4.3,1,"Oui","https://brasserielegambetta.fr/",6,"9431662501705358827"
"Le Napoléon Brasserie Nice","Nice","Restaurant",4.5,567,"Oui","https://www.lenapoleon-nice.fr/",8,"11389083351153528419"
"Le Gaglio - Brasserie Nice","Nice","Brasserie",4.2,1,"Oui","http://www.restaurantgaglio.com/fr/",6,"9928181040498696735"
"La Table de Brice","Nice","Brasserie",4.8,149,"Oui","https://www.instagram.com/latabledebrice",8,"1763050446024804149"
"Brasserie L'Union","Nice","Restaurant",4.3,1,"Oui","http://www.unionrestaurant.fr/",6,"11711634511332022588"
"Brasserie BLEUE","Nice","Brasserie",4.9,48,"Oui","http://brasseriebleue.com/",7,"3381241155939422518"
"La Rotonde","Nice","Restaurant",4.4,969,"Oui","https://www.lenegresco.com/restaurants/la-rotonde",8,"14129135761908998665"
"La Cantine Provençale","Cannes","Plats provençaux",4.8,1,"Oui","http://lacantineprovencale.com/",6,"2624348610018258378"
"L'Assiette Provençale","Cannes","Française",4.5,1,"Oui","http://lassiette-provencale-restaurant-cannes.eatbu.com/",6,"2191460681434750623"
"La Môme","Cannes","Restaurant",4.4,3,"Oui","https://lamomecannes.com/",6,"13601003185247145928"
"Hyde Beach Cannes","Cannes","Restaurant",4.6,1,"Oui","https://mondrianhotels.com/cannes/dining/hyde-beach/",6,"6218333340370325432"
"La Bambola","Cannes","Restaurant",4.6,348,"Oui","http://www.labambolacannes.com/",8,"3960879044877385409"
"Sens Restaurant Cannes","Cannes","Restaurant",4.8,532,"Oui","https://www.sens-restaurant.fr/",8,"3986549671559008436"
"Black Sails - A Pirate Tavern By Chef LeChat","Cannes","Restaurant",4.9,881,"Oui","http://blacksailstavern.fr/",8,"10728005399068597688"
"La Table du Chef","Cannes","Française",4.6,560,"Oui","https://latableduchefcannes.com/",8,"6808129061661802491"
"La Mandala - Restaurant - Plage - Croisette Cannes","Cannes","Restaurant",4.2,1,"Oui","https://lamandala-cannes.com/",5,"13377605883880775031"
"L’Atrium - Restaurant Cannes","Cannes","Restaurant",4.6,816,"Oui","https://www.l-atrium-restaurant-cannes.fr/",8,"8670038013024881194"
"Restaurant La Palme d'Or","Cannes","Gastronomie française",4.5,288,"Oui","https://www.lapalmedor-restaurant.fr/",8,"6210398868081644242"
"Fouquet's Cannes","Cannes","Brasserie",4.4,619,"Oui","https://www.hotelsbarriere.com/cannes/le-majestic/restaurants-et-bars/fouquets-cannes",8,"10063027473843663301"
"Table 22 par Noël Mantel - Restaurant Cannes","Cannes","Restaurant",4.4,497,"Oui","https://www.restaurantmantel.com/",8,"16616162928563535411"
"L'Affable","Cannes","Française",4.6,737,"Oui","http://restaurant-laffable.fr/",8,"2305491789400613947"
"La Table d’Hôtes","Cannes","Restaurant",4.8,150,"Oui","https://www.latabledhotes-cannes.com/",8,"8107964505772073808"
"Scalini","Cannes","Italienne",4.8,455,"Oui","https://www.jwmarriottcannes-restaurants.com/",8,"10547500600828612225"
"La Pizza Cresci - Cannes","Cannes","Pizza",4.1,7,"Oui","https://www.pizza-cresci-cannes.com/",6,"5322692891778722287"
"Mamma Mia - La Spiaggia","Cannes","Pizza",4.7,655,"Oui","http://mammamia-cannes.fr/",8,"17536086375446163884"
"Pizzatti Cannes — Livraison à domicile","Cannes","Pizza",4.8,91,"Oui","https://pizzatti.fr/",8,"3430254689037562047"
"GREEN PIZZA CANNES","Cannes","Pizza",4.8,337,"Oui","https://green-pizza.qaniit.com/fr/",8,"6086220796290664871"
"Best Pizza - Pizzeria Cannoise","Cannes","Pizza",4.5,281,"Non","",7,"8563013845337854767"
"Tredici","Cannes","Pizza",4.5,1,"Oui","https://tredici-cannes.eatbu.com/",6,"2798441634160374797"
"RAGAZZI CANNES","Cannes","Italienne",4.4,1,"Oui","http://ragazzi-group.fr/",6,"8335151675709832401"
"Pizza34","Cannes","Pizza",4.8,793,"Oui","http://pizza-34-cannes.eatbu.com/",8,"7734690489498615657"
"Mamma Pizza - Cannes","Cannes","Pizza",4.6,401,"Oui","https://mamma-pizza-cannes.eatbu.com/",8,"7211721950483688459"
"La Pizzaiola ""Chez Xavier""","Cannes","Pizza",4.4,676,"Oui","https://pizzaiolachezxavier.eatbu.com/",8,"8667443533722628509"
"Chez Le Brasseur Cannes","Cannes","Restaurant",4.2,1,"Oui","https://www.chezlebrasseur.com/chez-le-brasseur-cannes/",6,"712144188620166703"
"Brasserie La Villa","Cannes","Brasserie",4.6,442,"Oui","https://brasserielavilla.fr/fr",8,"4671058920524087507"
"La Californie - Cannes","Cannes","Française",3.8,1,"Oui","http://www.lacalifornie-cannes.com/",5,"13321092392811150808"
"Biererie By Brasserie Du Casino","Cannes","Restaurant",4.1,405,"Oui","https://foodandgood.fr/biererie-by-brasserie-du-casino/",8,"9884098334214871657"
"Le Californie","Cannes","Française",4.6,183,"Oui","https://www.instagram.com/le.californie?igsh=MTkxbDlibXAwd3Z3NA%3D%3D&utm_source=qr",8,"1967809246080401085"
"ASTOUX ET BRUN","Cannes","Brasserie",4.5,2,"Oui","https://www.astouxetbrun.com/",6,"4109197064056465135"
"New-York New-York","Cannes","Restaurant",4.1,6,"Oui","http://www.nynycannes.com/",6,"11126788354783083493"
"la petite escale","Antibes","Française",4.9,390,"Non","",7,"14292405299487610865"
"Restaurant L'Arazur","Antibes","Gastronomie française",4.6,939,"Oui","http://www.larazur.fr/",8,"15242614788864917223"
"La trattoria","Antibes","Italienne",4.7,577,"Non","",7,"7242074277033125802"
"Le Vieil Antibes","Antibes","Brasserie",4.2,896,"Oui","https://www.facebook.com/pablovieilantibes/",8,"9097350722056371240"
"Le P'tit Cageot","Antibes","Française",4.5,841,"Oui","http://www.leptitcageot.com/",8,"17572824696867544809"
"Restaurant La Cafetière Fêlée","Antibes","Restaurant de cuisine fusion",4.8,1,"Oui","https://www.lacafetierefelee.com/",6,"15277439056261745179"
"Angelo’s by Le Milano Antibes","Antibes","Restaurant",4.6,501,"Oui","https://www.ubereats.com/fr/store/angelos-snack-antibes/A1oYLQM2RxqSkMOdiyaY3w",8,"5187429562339194242"
"Jeanne","Antibes","Restaurant",4.9,873,"Oui","https://www.jeanne-antibes.com/",8,"285434004738468212"
"Pasta e Basta - Antibes","Antibes","Italienne",4.7,158,"Non","",7,"6867585592680778251"
"Restaurant le Vauban","Antibes","Française",4.7,775,"Oui","http://www.levauban.fr/",8,"2131165809305880441"
"Le Figuier de Saint-Esprit","Antibes","Gastronomie française",4.4,777,"Oui","http://le-figuier-de-saint-esprit.com/",8,"10998954879260016918"
"La Flibuste - Restaurant Gastronomique Villeneuve-Loubet","Antibes","Française",4.8,715,"Oui","https://restaurantlaflibuste.fr/",7,"7958043303554335543"
"Restaurant Les Terraillers","Antibes","Gastronomie française",4.7,643,"Oui","https://www.lesterraillers.fr/",7,"12545336986852997840"
"Restaurant Les Vieux Murs","Antibes","Gastronomie française",4,991,"Oui","https://www.lesvieuxmurs.com/",8,"12561911957223972569"
"Restaurant le 44","Antibes","Française",4.5,837,"Oui","http://www.le44riviera.com/",8,"15368612124410794463"
"Eden-Roc Restaurant","Antibes","Française",4.6,641,"Oui","https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/restaurants-bars/eden-roc-restaurant/?utm_source=google&utm_medium=organic&utm_campaign=google_local_eden_roc_restaurant",7,"11450392190643151685"
"La Fattoria","Antibes","Pizzas à emporter",4.9,339,"Oui","https://www.la-fattoria-antibes.fr/",8,"3204124812005346095"
"Pizzacom","Antibes","Pizza",4.9,108,"Oui","https://digitalaccom.wixsite.com/pizzacom",8,"9263525865469531840"
"Panetti Pizza Club Antibes","Antibes","Pizza",4.8,423,"Oui","https://www.instagram.com/panettipizzaclub/?hl=fr",8,"1855683742792106594"
"Gusto Gelato Pizza - Antibes","Antibes","Pizza",4.5,827,"Oui","http://www.gustoantibes.fr/",8,"11711520812052092447"
"Pizzeria d’la ruelle","Antibes","Pizza",4.8,187,"Oui","https://www.pizzeriadlaruelleantibes.fr/",8,"16565938355731516737"
"Ciao Pizza","Antibes","Pizza",4.8,95,"Non","",7,"7993908829061843022"
"Chez Ditta Pinède","Antibes","Italienne",4.9,176,"Oui","https://www.instagram.com/chezdittapinede?igsh=YnB5amF5ZDM1NDFv",8,"11345234784321589046"
"Eden Pizza","Antibes","Pizza",4.6,928,"Oui","https://www.edenpizza.fr/",8,"639028065231146552"
"Vin’s Pizza Antibes","Antibes","Pizza",4.8,168,"Oui","http://www.vinspizza.fr/",8,"1479622155725798916"
"Da Vinci","Antibes","Pizza",4.5,417,"Oui","http://www.davinci-antibes.com/",8,"8348360478624851704"
"Le Vieil Antibes","Antibes","04 93 34 56 84       ""Service géniale et déjeuner bien préparé et de bon prix.""",4.2,0,"Oui","https://www.facebook.com/pablovieilantibes/",6,"9097350722056371240"
"La Terrasse","Antibes","04 93 61 94 18       ""Un menu enfant avec un vrai bon steak hache et une cuisson très juste.""",4.4,0,"Non","",5,"16352200735761641761"
"Cafe Kanter","Antibes","04 93 34 16 15       ""Très bon restaurant,  très bon steak tartare, très bon service.""",4.4,0,"Oui","https://cafe-kanter.eatbu.com/",6,"12605216790736407819"
"Brasserie au café","Antibes","04 92 90 08 67       ""Service parfait, nourriture excellente, prix intéressant.""",4.6,0,"Non","",5,"13689008159552648234"
"3 Brasseurs Antibes","Antibes","04 93 74 23 71       ""Accueil sympathique, ambiance brasserie, plats copieux et bon.""",4,0,"Oui","https://restaurants.3brasseurs.com/fr/france-FR/884/3-brasseurs-antibes/details",6,"17757119961157336511"
"Le Grand Barbu - Brasserie TYPSI'S Bar à cocktails Concerts live","Antibes","Brasserie59 Av. Philippe Rochat06 88 00 83 62       ""Ambiance feutrée, patron sympa bière artisanale""",4.9,0,"Non","",5,"15515607299156814961"
"Mistinguett cafe Brasserie Comptoir","Antibes","04 93 95 14 67       ""Nourriture  au top staff au top
Super ambiance""",4,0,"Oui","https://mistinguettcafebrasseriecomptoir.shop/",6,"4992435824330901609"
"Square sud - Le cafe glacier","Antibes","04 93 34 86 30       ""Superbe endroit, service impeccable et efficace, cuisine excellente, merci.""",4.1,0,"Oui","http://lesquaresud.fr/fr",6,"7508041310982621476"
"CRAFTAZUR - Brasserie Artisanale d'Antibes","Antibes","07 67 18 85 55       ""J’ai fait appel à Craftazur dans le cadre d’un anniversaire.""",5,0,"Oui","https://craftazur.fr/",6,"9908482636703532081"
"Le Patio Antibes","Antibes","04 93 34 42 66       ""La cuisine est excellente , l'ambiance y est conviviale et tres agreable .""",4.2,0,"Non","",5,"10396407128430814667"
"La Môme Monte-Carlo","Monaco","Restaurant",4.7,1,"Oui","https://lamomemontecarlo.com/",5,"14494629078830784097"
"Caffè Milano","Monaco","Restaurant",4.7,3,"Oui","https://www.caffemilano.mc/",6,"17003971645630163726"
"Chez Pierre - French Restaurant in Monaco with Bar","Monaco","Française",4.9,568,"Oui","https://chezpierre.mc/",7,"7417235480731680803"
"Buddha-Bar Monte-Carlo","Monaco","Restaurant",4.5,2,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/buddha-bar-monte-carlo",5,"8806547753368085528"
"Giacomo","Monaco","Italienne",4.6,2,"Oui","https://www.bigmammagroup.com/fr/restaurants-italiens/giacomo?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website",6,"12734224243589245711"
"La Note Bleue","Monaco","Restaurant",4.5,1,"Oui","http://lanotebleue.mc/",5,"2970254160614618866"
"Les Perles de Monte-Carlo","Monaco","Fruits de mer",4.8,756,"Non","",6,"9058716589738505411"
"Zeffirino Monaco","Monaco","Italienne",4.7,372,"Oui","https://zeffirino-restaurant.com/monaco/",7,"11072659069838734051"
"Café de Paris Monte-Carlo","Monaco","Restaurant",4.1,4,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/le-cafe-de-paris",5,"5357003963339220412"
"Chez Les Grecs","Monaco","Grecque",4.9,391,"Oui","http://www.chezlesgrecs.com/",7,"17695340287953787770"
"R - La Table d'Antonio Salvatore","Monaco","Cuisine gastronomique",4.6,54,"Oui","https://rampoldi.mc/la-table-dantonio-salvatore/",8,"17930756242935482650"
"Pavyllon Monte-Carlo, un restaurant de Yannick Alléno","Monaco","Cuisine gastronomique",4.6,340,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/pavyllon-monte-carlo-restaurant-yannick-alleno",8,"18017071706079587041"
"Blue Bay Marcel Ravin","Monaco","Cuisine gastronomique",4.6,315,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/blue-bay-marcel-ravin",7,"10579475863780553851"
"Le Grill","Monaco","Cuisine gastronomique",4.7,555,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/le-grill",7,"17350570656598732343"
"Restaurant La Table d'Elise Monaco","Monaco","Méditerranéenne",4.3,314,"Oui","https://www.latabledelise.mc/restaurant/",8,"14623689714501575653"
"Private Chef Côte d’Azur : Traiteur Luxe & Tradition de la Région","Monaco","Service de cuisinier à domicile",5,78,"Oui","https://privatechefmonaco.com/",7,"6525137013324539282"
"Robuchon Monaco","Monaco","Restaurant",4.9,27,"Oui","https://robuchonmonaco.com/robuchon-monaco/",6,"10894614793249377719"
"Bella Vita","Monaco","Italienne",4.2,2,"Oui","http://www.bellavita.mc/",6,"5200038319917578254"
"Reginèlla","Monaco","Italienne",4.7,526,"Oui","http://www.lareginellamc.com/",7,"16974955827227040713"
"Il Giardino Monte-Carlo","Monaco","Restaurant",4.6,466,"Oui","https://www.ilgiardinomontecarlo.com/",8,"4256461613601612832"
"Ristorante Pizzeria Sorrento Monaco","Monaco","Restaurant",4.4,58,"Non","",6,"66167362720929815"
"La Chamade Lab","Monaco","Pizza",4.9,814,"Non","",6,"3690593762602210764"
"Maya Mia","Monaco","Italienne",4.4,1,"Oui","https://www.mayamia.mc/",6,"9813789870110477779"
"Crazy Pizza Monte Carlo","Monaco","Pizza",4.2,1,"Oui","https://crazypizza.com/monte-carlo/",6,"12512490173117263544"
"Norma","Monaco","Italienne",4.5,428,"Oui","https://norma-monaco.com/",7,"4922392750752696476"
"Brasserie de Monaco","Monaco","Microbrasserie",4.1,2,"Oui","http://www.brasseriedemonaco.com/",5,"7547452235297415175"
"La Trattoria","Menton","Italienne",4.6,3,"Oui","https://www.latrattoria-menton.fr/en/",6,"9268545235651516859"
"Mont Goût","Menton","Restaurant",4.9,499,"Oui","https://www.instagram.com/montgout/",8,"5096585806181505931"
"Les Cotes de Menton","Menton","Restaurant",4.8,244,"Oui","https://www.lescotesdementon.com/",8,"5337310383749167970"
"L'AVENUE","Menton","Restaurant",4.7,733,"Non","",7,"1864236121802554317"
"Restaurant Mirazur","Menton","Gastronomie française",4.4,1,"Oui","http://www.mirazur.fr/",6,"10881577327455334296"
"L’Orangerie-restaurant Menton","Menton","Française",4.7,827,"Oui","https://www.orangeriementon.fr/",8,"14167124876616801864"
"Lyode","Menton","Fruits de mer",4.8,230,"Oui","https://www.instagram.com/lyode_restaurant?igsh=Y3YwcWlxOHd3bGZh&utm_source=qr",8,"13532556144078870268"
"Les Croc's","Menton","Restaurant",4.9,375,"Non","",7,"10455997804545162305"
"Le Stanley","Menton","Restaurant",4.4,2,"Oui","https://www.stanley-menton.fr/",6,"7111743436001969443"
"L'Entre II","Menton","Restaurant",4.6,249,"Non","",7,"2784701408540845732"
"PIZZA e BASTA","Menton","Italienne",4.8,189,"Oui","https://pizzaebastamenton.com/",8,"9320584036607528411"
"Fleur de Mozza - Pizzeria Menton","Menton","Pizza",4.7,319,"Non","",7,"3136570156732592579"
"Pizz’Addict","Menton","Pizza",4.8,315,"Non","",7,"14810050658708060771"
"Da Franci","Menton","Pizza",4.7,268,"Non","",7,"2402293320998114075"
"Al Vecchio Forno","Menton","Pizza",4.4,1,"Oui","https://cinque-valli.com/listing/al-vecchio-forno/",6,"7360252188411899053"
"L'ENVOL Pizzeria","Menton","Pizza",4.8,109,"Non","",7,"13168519065337258035"
"Il faró - Pizzeria","Menton","Italienne",4.9,61,"Non","",7,"8640639638461488508"
"Salentoexpress","Menton","Pizza",4.9,161,"Non","",7,"16672720760429328564"
"La PecoraNegra Menton","Menton","Pizza",4.3,869,"Oui","http://www.pecoranegra.fr/",7,"8420388479111571923"
